record_id,institution_id,department,course_id,faculty_id,semester,course_level,class_size,attendance_rate,student_engagement_score,lms_login_frequency,learning_material_views,assignment_submission_rate,assignment_average_score,quiz_average_score,midterm_exam_score,final_exam_score,course_completion_rate,discussion_forum_activity,student_question_count,faculty_response_time_hr,feedback_submission_rate,course_evaluation_score,teaching_material_quality,lecture_delivery_score,interactive_teaching_score,practical_session_score,assessment_fairness_score,curriculum_coverage_pct,technology_usage_score,student_satisfaction_score,faculty_experience_years,faculty_training_hours,peer_review_score,classroom_interaction_rate,academic_support_sessions,learning_outcome_achievement,instructional_effectiveness_score,overall_teaching_index,teaching_quality_level
11500,INST_01,Computer Science,COURSE_035,FAC_0151,Semester 2,Doctoral,133,87.28,98.61,38,477,67.36,68.39,78.08,90.08,56.43,94.52,293,50,18.03,40.05,3.72,81.19,94.5,44.93,53.03,77.06,90.23,85.38,38.74,23,47.14,2.58,22.62,21,77.56,42.18,36.92,Average
6476,INST_04,Electrical Engineering,COURSE_152,FAC_0492,Semester 1,Doctoral,113,99.19,76.2,21,492,94.1,40.93,39.34,27.1,86.53,58.49,266,17,32.15,40,4.38,76.52,87.69,35.75,66.37,74.65,99.9,36.07,52.41,2,0.25,4.17,41.72,38,73.74,40.42,42.64,Good
13168,INST_04,Chemistry,COURSE_166,FAC_0522,Semester 3,Postgraduate,110,66.54,57.05,129,75,63.24,72.18,96.49,74.41,80.61,68.53,65,48,35.32,39.69,4.06,62.45,60.25,72.33,40.82,85.07,86.64,40.87,84.4,30,66.16,1.65,55.2,14,95.68,70.01,54.35,Average
863,INST_02,Civil Engineering,COURSE_107,FAC_0073,Semester 2,Postgraduate,65,87.9,65.95,141,73,89.4,77.12,79.2,98.12,49.62,86.62,18,51,20.82,94.17,3.44,84.84,76.41,67.53,65.91,64.77,97.49,88.57,97.28,24,41.55,1.84,65.14,11,77.38,59.22,59.92,Average
5971,INST_06,Economics,COURSE_016,FAC_0508,Semester 1,Undergraduate,119,68.51,99.77,53,460,83.48,78.17,41.86,49.65,61.46,65.93,141,64,20.43,55.65,1.42,52.61,49.99,49.29,46.88,51.72,78.69,24.48,38.09,25,91.88,1.11,67.34,4,62.31,88.8,81.43,Average
6707,INST_19,Economics,COURSE_139,FAC_0094,Semester 2,Postgraduate,118,95.27,68.31,31,325,46.23,56.17,82.57,86.38,54.69,73.33,267,51,54.59,41.04,3.88,40.28,80.3,80.63,64.17,42.63,94.07,36.34,82.33,18,15.88,2.59,49.59,19,41.63,62.95,37.03,Good
3018,INST_14,Chemistry,COURSE_008,FAC_0145,Semester 4,Undergraduate,95,92.51,53.15,40,180,67.46,95.44,63.07,55.13,33.45,58.91,50,73,36.5,54.25,2.33,41.79,65.15,98.19,42.71,93.66,94.02,44.75,93.19,22,26.71,1.01,48.88,39,97.01,61.49,40.71,Average
3782,INST_03,Mathematics,COURSE_178,FAC_0234,Semester 2,Undergraduate,112,99.25,86.31,129,171,68.5,35.84,64.28,46.15,53.97,40.44,140,48,66.23,75.65,4.01,76.64,66.85,99.93,81.36,66.46,69.87,23.51,68.06,28,8.85,3.05,59.35,39,55,85.06,65.44,Average
3899,INST_15,Chemistry,COURSE_083,FAC_0060,Semester 3,Undergraduate,130,55.12,88.6,84,498,68.21,81.31,66.52,81.08,38.4,53.16,254,80,8.82,35.56,4.14,93.5,68.11,43.4,91.07,43.33,84.32,82.51,85.48,33,26.71,1.8,62.33,47,75.99,48.36,42.94,Average
2251,INST_03,Mechanical Engineering,COURSE_181,FAC_0214,Semester 1,Doctoral,179,69.62,76.72,41,97,92.12,35.42,81.69,87.74,55.69,54.88,33,69,42.53,63.46,3.17,86.14,50.38,44.4,42.57,74.87,65.36,35.52,71.72,13,39.95,2.7,98.96,17,68.48,88.51,47.41,Average
543,INST_09,Economics,COURSE_195,FAC_0531,Semester 4,Doctoral,164,83.64,92.83,77,377,60.59,94.8,69.96,30.6,93.07,97.3,280,52,62.86,91.35,1.21,65.19,86.17,81.28,42.41,85.47,92.77,68.45,60.35,15,59.18,4.33,88.81,16,47.74,72.05,78.7,Good
4352,INST_05,Chemistry,COURSE_069,FAC_0445,Semester 2,Postgraduate,164,81.73,38.76,128,41,98.21,93.53,96.6,74.26,51.07,93.72,111,73,47.89,56.27,1.24,74.04,88.52,98.06,88.85,86.86,64.55,43.05,86.01,28,49.78,1.37,64,0,75.12,81.2,52.22,Average
