Teacher_ID,Institution_ID,Department,Academic_Rank,Qualification_Level,Employment_Type,Assessment_Year,Assessment_Round,Years_of_Experience,Teaching_Effectiveness_Score,Student_Feedback_Score,Peer_Evaluation_Score,Course_Completion_Rate,Curriculum_Innovation_Score,Teaching_Load_Hours_Per_Week,Digital_Teaching_Adoption_Score,Student_Outcome_Improvement_Score,Publication_Count,Journal_Quality_Index,Citation_Count,Research_Project_Count,Research_Funding_Amount_Lakh,Patent_Count,Conference_Presentation_Count,Research_Collaboration_Index,Training_Hours_Completed,Workshop_Participation_Count,Certification_Count,Faculty_Development_Program_Score,Lifelong_Learning_Index,Mentoring_Score,Academic_Service_Score,Committee_Participation_Count,Leadership_Role_Count,Institutional_Contribution_Score,Community_Extension_Score,Ethics_Compliance_Score,Punctuality_Score,Assessment_Submission_Timeliness,Absenteeism_Days,Student_Grievance_Count,Administrative_Compliance_Score,Teaching_Dimension_Score,Research_Dimension_Score,Professional_Development_Dimension_Score,Institutional_Service_Dimension_Score,Ethics_Reliability_Dimension_Score,Development_Quality_Score,Low_Development_Score,Moderate_Development_Score,High_Development_Score,Development_Quality_Level
TCH_00001,University_G,Physics,Assistant Professor,PhD,Contract,2021,Round_1,10,75.03,71.22,75.61,85.75,60.58,14.4,71.16,74.84,4,75.95,81.0,4,3.39,0,3,59.91,43.8,4,0,74.41,63.4,70.03,64.68,3,0,57.97,63.5,89.18,72.38,64.8,7,0,76.99,53.46,27.65,33.18,34.82,62.3,45.48,0.558,0.019,0.0,Improvement_Oriented
TCH_00002,University_D,Mechanical Engineering,Professor,PhD,Visiting,2021,Round_2,17,69.74,72.27,67.73,76.87,76.26,19.19,65.72,82.61,3,69.24,86.0,2,8.64,0,2,46.77,66.39,1,1,55.81,65.82,47.55,72.53,6,3,58.13,63.13,88.12,72.44,73.56,6,4,64.79,50.76,22.73,30.28,38.91,56.39,41.69,0.666,0.0,0.0,Improvement_Oriented
TCH_00003,University_E,Education,Lecturer,PhD,Permanent,2022,Round_2,1,91.62,82.31,82.36,88.17,82.98,16.48,84.66,96.06,11,100.0,100.0,4,5.13,1,4,83.6,57.19,7,0,86.13,85.87,92.49,92.25,9,1,87.17,74.16,91.63,84.77,88.11,5,1,95.17,76.41,43.95,50.37,65.02,80.5,58.48,0.186,0.539,0.0,Moderate_Development
TCH_00004,University_G,Physics,Assistant Professor,Master,Contract,2022,Round_2,9,80.37,80.17,74.86,87.71,81.91,13.22,70.66,68.29,7,77.68,89.0,1,27.07,0,4,78.46,45.31,6,3,86.09,80.07,83.29,76.17,3,0,81.57,76.56,94.81,86.37,88.46,5,4,86.88,60.13,35.87,51.05,49.84,75.98,55.0,0.286,0.4,0.0,Moderate_Development
TCH_00005,University_C,Management,Associate Professor,Master,Contract,2022,Round_1,7,98.84,87.41,87.59,90.37,83.4,10.69,88.89,78.08,11,74.74,100.0,4,15.22,1,4,85.95,56.78,3,2,79.89,90.81,97.1,74.16,6,2,71.75,97.19,90.17,82.41,100.0,5,7,89.79,78.59,41.92,48.64,61.49,73.0,62.24,0.079,0.69,0.0,Moderate_Development
TCH_00006,University_H,Chemistry,Assistant Professor,PhD,Permanent,2025,Round_2,11,96.98,81.24,85.98,83.57,83.62,12.52,94.07,82.85,8,77.48,91.0,3,21.51,0,8,84.35,71.65,3,2,72.83,79.03,74.05,84.03,9,2,85.44,91.57,97.81,85.25,95.1,6,2,86.96,76.24,40.95,45.34,63.14,81.07,59.79,0.149,0.592,0.0,Moderate_Development
TCH_00007,University_E,English,Associate Professor,Postdoctoral,Permanent,2021,Round_2,10,89.26,87.7,90.21,92.71,89.0,17.61,94.0,89.95,17,91.62,113.0,2,,1,2,77.3,71.81,11,2,88.76,82.15,100.0,88.47,5,1,84.95,81.06,93.51,90.55,91.81,4,2,80.52,82.7,42.32,61.92,62.85,79.59,66.44,0.0,0.858,0.048,Moderate_Development
TCH_00008,University_E,English,Associate Professor,PhD,Permanent,2022,Round_2,16,79.11,88.23,82.32,93.97,90.89,19.48,88.2,87.25,8,98.7,105.0,5,36.1,1,4,80.74,62.54,4,3,83.91,93.05,91.24,73.23,6,2,86.13,84.63,96.37,97.09,77.82,5,3,86.4,76.54,49.12,54.95,60.56,77.99,63.14,0.053,0.726,0.0,Moderate_Development
TCH_00009,University_G,Education,Professor,PhD,Contract,2024,Round_1,15,85.01,79.94,86.04,95.35,75.22,9.46,78.28,80.33,9,74.78,242.38514776487517,3,27.42,3,1,71.74,60.68,6,0,85.7,77.25,83.72,72.29,4,1,74.77,74.25,85.01,86.1,80.14,7,2,79.02,70.49,42.94,46.76,49.52,67.63,59.83,0.148,0.593,0.0,Moderate_Development
TCH_00010,University_B,English,Professor,Master,Permanent,2022,Round_1,18,94.67,76.69,89.52,91.41,88.37,10.9,83.53,79.66,17,75.12,104.0,1,,0,4,87.85,76.07,5,2,86.08,82.58,95.23,81.02,6,1,86.74,72.85,87.72,97.87,89.81,4,3,88.43,75.73,40.29,53.99,59.46,79.64,58.09,0.197,0.524,0.0,Moderate_Development
